instance;optimalsolution
a280;2579
berlin52;7542
bier127;118282
ch130;6110
ch150;6528
d198;15780
d493;35002
eil101;629
eil51;426
eil76;538
fl417;11861
gil262;2378
kroA100;21282
kroA150;26524
kroA200;29368
kroB100;22141
kroB150;26130
kroB200;29437
kroC100;20749
kroD100;21294
kroE100;22068
lin105;14379
lin318;42029
linhp318;41345
pcb442;50778
pr107;44303
pr124;59030
pr136;96772
pr144;58537
pr152;73682
pr226;80369
pr264;49135
pr299;48191
pr439;107217
pr76;108159
rat195;2323
rat99;1211
rd100;7910
rd400;15281
st70;675
ts225;126643
tsp225;3919
u159;42080
